site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Cecilia & Cecilia 7,-13.52281,-71.99131,Puno,M,"Zinc, Lead",,,Unknown,,,,
Huaron,-11.0479,-76.39973,Pasco,M,"Zinc, Silver, Lead, Copper",,,Plant,,Underground,,
(Facility) La Oroya - Zinc Refinery,-11.51459,-75.93301,Junin,B,"Zinc, Refiner",,,Plant,,,,
Merced,-9.28408,-77.39975,Ancash,M,,,,Past Producer,,,,
Sacracancha,-11.66458,-76.16642,Junin,M,,,,Producer,,,,
Condor,-9.28378,-77.39975,Ancash,M,,,,Occurrence,,,,
Chira,-9.98795,-77.17475,Ancash,M,,,,Prospect,,,,
Blanquita,-10.16464,-76.94974,Ancash,M,,,,Prospect,,,,
El Extrano,-9.32298,-78.05807,Ancash,M,"Lead, Zinc",,,Producer,,,,
Cochasayhuas,-13.94779,-72.39962,Apurimac,M,,,,Past Producer,,,,
Raul Pativilca,-12.66034,-76.63303,Lima,M,Copper,,,Producer,,,,
Alpamina,-11.65208,-76.07472,Junin,M,"Copper, Lead, Silver, Zinc",,,Producer,,,,
Recompensa,-9.49797,-77.14975,Ancash,M,,,,Past Producer,,,,
Rosita De Oro,-9.49797,-77.14975,Ancash,M,,,,Producer,,Underground,,
Toquepala,-17.29768,-71.36629,Tacna,M,Copper,,,Producer,,Surface,,
Chuvilca,-8.14803,-78.18307,La Libertad,M,"Gold, Lead, Silver, Zinc",,,Producer,,,,
Chagla,-9.59796,-76.29973,Huanuco,N,Barium-Barite,,,Producer,,Surface,,
