site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Calpa and Cordova Gold Copper Mine 69-79,-15.8144,-73.47465,Arequipa,M,"Gold, Silver, Copper",,Y,Producer,"Chalcopyrite, Gold, Pyrite",,"Volcanic Rock (Aphanitic),Andesite",
Capitana Gold 60,-15.61441,-74.01633,Arequipa,M,"Silver, Gold",,Y,Producer,"Gold, Silver",,"Diorite,Granite",
Chanchamina Gold-Silver-Lead Deposit #46,-11.38122,-75.78304,Junin,M,"Gold, Silver, Lead",Replacement,M,Producer,"Chalcopyrite, Galena, Gold, Pyrite, Pyrrhotite, Silver, Sphalerite",Underground,"Slate,Shale,Sandstone,Limestone,Dolomite",Dacite
Chuquitambo Gold 17,-10.58125,-76.14972,Pasco,M,Gold,,Y,Producer,"Chalcopyrite, Gold",,"Sandstone,Limestone",
Convento Gold 66,-15.74773,-73.79966,Arequipa,M,Gold,,Y,Producer,Gold,,"Diorite,Quartzite,Shale,Volcanic Rock (Aphanitic),Granite",
Huachoc Gold 73,-11.51456,-76.79974,Lima,M,"Gold, Copper, Silver",,Y,Producer,"Bornite, Chalcocite, Gold, Silver",,Diorite,
Huachon Gold 16,-10.66459,-75.96639,Pasco,M,"Gold, Copper",,U,Producer,"Chalcopyrite, Galena, Gold, Pyrite, Tetrahedrite",,Sandstone,
Huayllura Gold 78,-15.48107,-73.09131,Arequipa,M,"Silver, Gold",,Y,Producer,,,"Quartzite,Sandstone,Volcanic Rock (Aphanitic)",
Los Incas Gold 50,-14.96082,-74.68107,Ayacucho,M,"Gold, Silver",,S,Past Producer,"Chalcocite, Chalcopyrite, Chrysocolla, Gold, Malachite, Pyrite",Underground,"Quartzite,Shale,Andesite",Diorite
Palmaderas Gold 79,-15.51441,-73.09964,Arequipa,M,Gold,,Y,Producer,,,"Quartzite,Shale",
Parcoy Gold 58,-8.04497,-77.44976,La Libertad,M,Gold,,S,Producer,"Chalcopyrite, Electrum, Galena, Gold, Marcasite, Pyrite, Pyrrhotite, Sphalerite, Tetrahedrite",,"Diorite,Shale,Sandstone,Limestone",
Pataz Gold 54,-7.77582,-77.59976,La Libertad,M,"Silver, Gold",Vein,S,Producer,"Chalcopyrite, Electrum, Galena, Gold, Pyrite, Pyrrhotite, Sphalerite, Stibnite",,"Diorite,Quartzite,Gneiss,Shale,Sandstone,Limestone",Andesite
Posco,-15.96383,-73.18575,Arequipa,M,"Gold, Silver",,U,Producer,"Bornite, Chalcopyrite, Chrysocolla, Digenite, Electrum, Galena, Gold, Malachite, Pyrrhotite, Sphalerite, Tetrahedrite",,Diorite,
La Rinconada Gold 158,-14.66443,-69.49955,Puno,M,"Gold, Silver, Copper",,U,Producer,"Chalcopyrite, Galena, Gold, Pyrite, Pyrrhotite, Sphalerite",,Slate,
San Luis Gold 53,-15.33108,-74.46634,Ayacucho,M,"Gold, Silver",,Y,Producer,Gold,,"Diorite,Quartzite,Andesite",
Santa Lucia Gold 51,-14.95609,-74.58301,Ayacucho,M,"Gold, Copper, Lead",Vein,Y,Producer,"Chalcopyrite, Galena, Gold",,Diorite,
Santo Domingo,-13.86446,-69.69956,Puno,M,Gold,,S,Past Producer,"Chalcopyrite, Galena, Gold, Pyrite, Scheelite, Sphalerite, Stibnite",Underground,"Diabase,Shale,Sandstone",
Saramarca [Gold-Copper Deposit 46],-14.5311,-75.09136,Ica,M,"Silver, Zinc, Lead, Gold",,Y,Past Producer,"Chalcopyrite, Galena, Gold, Pyrite, Pyrrhotite, Sphalerite",,Metavolcanic Rock,Tonalite
Manto De Togenes Mine,-17.28101,-70.56624,Tacna,M,"Copper, Silver, Gold",Vein,S,Producer,"Chalcopyrite, Galena",,Diorite,
Sol De Oro [Gold],-14.88109,-74.99968,Ica,M,Gold,,Y,Past Producer,"Chalcopyrite, Chrysocolla, Gold, Pyrite",,"Volcanic Rock (Aphanitic),Tuff,Volcanic Breccia (Agglomerate),Andesite",Diorite
Triunfo Gold 47,-14.61444,-74.88301,Ica,M,"Gold, Copper",Vein,Y,Producer,"Chalcopyrite, Gold",,"Syenite,Shale,Sandstone,Limestone,Andesite",
El Toro,-7.81054,-78.04477,La Libertad,M,"Copper, Silver, Gold",,S,Past Producer,"Enargite, Tetrahedrite",,"Sandstone,Andesite",
Peru Gold Placer Deposits,-9.16174,-74.37531,,M,Gold,,Y,Producer,,,,
Cochasayhuas,-14.14778,-72.46629,Apurimac,M,"Gold, Silver",,U,Producer,"Argentite, Chalcopyrite, Galena, Gold, Polybasite, Pyrite, Silver, Sphalerite",,"Quartzite,Shale",
Salpo-Milluachaqui Gold-Silver 45,-7.9897,-78.59978,La Libertad,M,"Gold, Silver",,U,Producer,"Argentite, Chalcopyrite, Galena, Gold, Pyrite, Sphalerite, Tetrahedrite",,Andesite,
Sucuitambo Gold-Silver 84,-15.09775,-71.71627,Arequipa,M,"Gold, Silver",,U,Producer,"Argentite, Chalcopyrite, Galena, Gold, Polybasite, Pyrite, Sphalerite",,Volcanic Rock (Aphanitic),
Mangan,-9.30409,-77.78504,Ancash,M,"Silver, Lead, Zinc",,S,Producer,"Galena, Pyrite, Sphalerite",,"Sandstone,Rhyolite",
Lampa,-15.6394,-70.5329,Puno,M,"Silver, Copper",Replacement,Y,Producer,"Chalcocite, Chrysocolla, Polybasite, Stephanite",Underground,"Shale,Limestone",
Caylloma Mine,-15.21442,-71.81628,Arequipa,M,"Silver, Gold",,Y,Producer,"Argentite, Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Volcanic Rock (Aphanitic),
Otoca,-14.48334,-74.68468,Ayacucho,M,"Gold, Lead, Copper, Silver",,Y,Producer,"Argentite, Bornite, Chalcopyrite, Galena, Pyrite, Sphalerite",Underground,"Quartzite,Shale","Monzonite,Diorite"
San Genaro Silver 26,-13.16449,-75.14969,Huancavelica,M,"Silver, Lead, Zinc, Copper",,S,Producer,"Argentite, Chalcopyrite, Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Acari Copper Deposit 9,-15.24775,-74.63301,Arequipa,M,Copper,,M,Producer,"Atacamite, Bornite, Chalcocite, Chalcopyrite, Chrysocolla, Cuprite, Malachite",,"Diorite,Granite",
Algamarca Copper 38,-7.62305,-78.24311,Cajamarca,M,"Copper, Silver, Gold",,U,Producer,"Chalcopyrite, Gold, Tetrahedrite",,"Shale,Sandstone",
Mina Azurita,-13.9564,-75.62303,Ica,M,Copper,,S,Producer,"Antlerite, Atacamite, Chalcocite, Chalcopyrite, Cuprite, Galena, Malachite, Tenorite",,Diorite,Diorite
Cascabamba Copper 34,-7.38139,-78.69979,Cajamarca,M,"Zinc, Gold, Copper, Silver",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,"Diorite,Quartzite,Shale,Conglomerate,Dacite,Granite",
Chanape Copper 50,-11.94787,-76.21639,Lima,M,"Copper, Zinc, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Stibnite, Tetrahedrite",,Volcanic Rock (Aphanitic),
El Dorado Copper 59,-10.54793,-77.37475,Ancash,M,"Silver, Copper",,Y,Producer,"Chalcocite, Chalcopyrite, Cuprite, Malachite, Pyrite",,"Andesite,Granite",
Milo Mine,-6.98141,-78.30811,Cajamarca,M,"Copper, Silver, Lead",,Y,Producer,"Chalcopyrite, Galena, Tetrahedrite",,"Sandstone,Limestone",
Punre Copper 24,-7.00641,-78.28311,Cajamarca,M,"Zinc, Silver, Copper, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,"Diorite,Sandstone",
Quenamari Copper 88,-14.21445,-70.34957,Puno,M,"Lead, Copper, Zinc",,Y,Producer,"Bornite, Chalcopyrite, Galena, Sphalerite",,"Monzonite,Diorite,Slate,Quartzite",
Santa Elena Mine,-13.68669,-72.69019,Ancash,M,"Silver, Gold, Copper",,S,Past Producer,"Bornite, Chalcopyrite, Enargite, Galena, Pyrite, Sphalerite, Stibnite, Tetrahedrite",,"Shale,Siltstone,Sandstone,Limestone",
Tacaza,-15.60606,-70.72458,Puno,M,"Gold, Copper, Silver",,U,Producer,"Bornite, Bournonite, Chalcocite, Chalcopyrite, Enargite, Galena, Sphalerite, Tetrahedrite",,Andesite,
Quequena Copper Belt 25,-16.61437,-71.37459,Arequipa,M,"Copper, Silver, Gold",Vein,Y,Producer,"Bornite, Chalcopyrite",,Diorite,
Rescate Copper Belt 22,-16.56437,-71.4996,Arequipa,M,"Copper, Gold, Silver",,Y,Producer,"Bornite, Chalcopyrite, Galena, Gold, Silver, Sphalerite",Underground,Diorite,
San Jose Copper Belt 27,-16.73103,-71.43292,Arequipa,M,Copper,,U,Past Producer,"Chalcocite, Chalcopyrite",,"Quartz Monzonite,Quartzite",
Azulyaco Mine,-17.33935,-70.52457,Tacna,M,"Copper, Silver, Lead, Gold",Vein,S,Producer,"Bornite, Chalcopyrite, Galena, Gold, Tetrahedrite",,Diorite,
Aguas Verdes Contact Metasomatic Copper 35,-15.28108,-73.89966,Ayacucho,M,Copper,,U,Producer,"Bornite, Chalcopyrite, Covellite, Cuprite, Malachite, Molybdenite, Pyrite, Pyrrhotite",Underground,"Limestone,Granite",
Chillioroya Region Contact Metasomatic Copper 36,-14.4311,-71.76628,Cusco,M,Copper,,Y,Producer,"Bornite, Chalcocite, Chalcopyrite, Gold, Silver",,"Quartz Monzonite,Diorite,Limestone",
Chungar Contact Metasomatic Copper 45,-11.13123,-76.54973,Pasco,M,"Silver, Lead, Copper, Gold",,Y,Producer,"Chalcopyrite, Galena, Molybdenite, Sphalerite",,"Diorite,Limestone",
Huarca Contact Metasomatic Copper 44,-14.98942,-71.3996,Cusco,M,Copper,,Y,Producer,"Bornite, Chalcopyrite, Gold, Silver",,"Quartz Monzonite,Diorite,Limestone",
San Gregorio,-10.47293,-76.25805,Pasco,M,Bismuth,,M,Producer,"Argentite, Chalcopyrite, Galena, Jamesonite, Marcasite, Pyrite, Pyrrhotite, Sphalerite, Stibnite",Surface/Underground,"Shale,Sandstone",
Acari Iron Deposit 34,-15.32275,-74.73301,Arequipa,M,Iron,,N,Past Producer,"Hematite, Magnetite",,"Monzonite,Diorite",
Rondoni Iron 16,-10.19794,-76.4914,Huanuco,M,Iron,,Y,Past Producer,Magnetite,,"Diorite,Limestone",
Tarpuy Iron 37,-16.89769,-72.06628,Arequipa,M,Iron,,N,Occurrence,"Hematite, Magnetite",,Gneiss,
Tambo Grande Iron 1,-4.91484,-80.33316,Piura,M,Iron,,N,Prospect,Hematite,,Andesite,
Yaurilla Iron 42,-14.08112,-75.63303,Ica,M,Iron,,Y,Producer,"Hematite, Magnetite",,Andesite,
Janchiscocha Molybdenum 34,-11.63121,-75.35803,Junin,M,Molybdenum,,Y,Past Producer,Molybdenite,,Granite,
Parac Molybdenum 63,-10.63125,-77.03307,Lima,M,Molybdenum,,Y,Producer,"Chalcopyrite, Molybdenite",,"Diorite,Volcanic Rock (Aphanitic)",
Rapay Molybdenum 64,-10.53126,-77.11642,Lima,M,"Copper, Molybdenum",,Y,Producer,"Chalcopyrite, Molybdenite",,"Diorite,Volcanic Rock (Aphanitic)",
Huayllahura Area Nickel-Cobalt 39,-13.13115,-73.68299,Ayacucho,M,"Nickel, Cobalt",,Y,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Limestone,
Rapi Nickel-Cobalt 40,-13.11449,-73.78299,Ayacucho,M,"Nickel, Cobalt",,Y,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Limestone,
Cerro Azogiune Quicksilver,-15.80605,-70.02456,Puno,M,Mercury,,Y,Past Producer,"Cinnabar, Mercury, Tetrahedrite",,Clastic Sedimentary Rock,
Chonta Quicksilver 17,-10.04794,-76.79974,Huanuco,M,"Mercury, Lead, Zinc",,Y,Producer,"Cinnabar, Galena, Sphalerite",,Sandstone,
Alpamarca Lead-Zinc Mine 20,-11.2229,-76.5039,Junin,M,"Zinc, Silver, Lead",,Y,Producer,"Galena, Sphalerite, Tetrahedrite",,Limestone,
Anamaray Lead-Zinc Mine 8,-10.61459,-76.71641,Lima,M,"Silver, Lead, Zinc",,N,Occurrence,"Galena, Sphalerite, Tetrahedrite",,"Quartzite,Limestone",
Runatullo Lead Zinc Mine 5,-8.0147,-78.61645,La Libertad,M,"Lead, Zinc, Copper",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Andaychagua Lead-Zinc Mine 6,-11.75621,-75.98305,Junin,M,"Lead, Zinc",,Y,Producer,"Argentite, Galena, Gold, Silver, Sphalerite",,"Diorite,Clastic Sedimentary Rock",
Arcata Mine 1,-15.08108,-72.33295,Arequipa,M,Silver,,Y,Producer,"Acanthite, Argentite, Chalcopyrite, Electrum, Galena, Marcasite, Miargyrite, Polybasite, Pyrargyrite, Pyrrhotite, Silver, Sphalerite, Stephanite, Stibnite, Stromeyerite, Tetrahedrite",,"Volcanic Rock (Aphanitic),Volcanic Breccia (Agglomerate),Dacite",
Atlante Vesubio Lead-Zinc Mine 98,-9.21465,-77.44975,Ancash,M,"Lead, Zinc",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Stibnite, Tetrahedrite",,"Diorite,Quartzite",
Atunsulla Lead-Zinc Mine 15,-13.46448,-74.34967,Ayacucho,M,"Zinc, Lead, Copper, Silver",,U,Producer,"Chalcopyrite, Galena, Pyrite, Sphalerite",,Volcanic Rock (Aphanitic),
Cacachara Lead-Zinc Mine 76,-16.5977,-70.09956,Puno,M,"Zinc, Lead",,N,Prospect,"Argentite, Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Volcanic Rock (Aphanitic),
Chabuca Lead-Silver Mine 19,-13.77279,-70.75791,Cusco,M,"Lead, Silver",,Y,Producer,Galena,,Volcanic Rock (Aphanitic),Andesite
San Antonio De Esquilache Lead Zinc Mine 70,-16.09771,-70.2829,Puno,M,"Lead, Zinc, Silver, Gold",,U,Producer,"Chalcopyrite, Galena, Pyrite, Sphalerite, Tetrahedrite",,"Volcanic Rock (Aphanitic),Andesite",
Chanca Lead-Zinc Mine 3,-10.4646,-76.84974,Lima,M,"Lead, Silver",,Y,Past Producer,"Chalcopyrite, Galena, Tetrahedrite",,Volcanic Rock (Aphanitic),
Chavin Lead-Zinc Mine 34,-13.18949,-75.64971,Huancavelica,M,"Lead, Zinc, Silver",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Cochas Region Lead-Zinc Mine 48,-11.94787,-75.88304,Junin,M,"Zinc, Lead, Silver",,Y,Producer,"Galena, Sphalerite",,Limestone,
Colloadar Lead-Zinc Mine 11,-7.39806,-78.57478,Cajamarca,M,"Zinc, Copper",,Y,Producer,"Chalcopyrite, Sphalerite",,"Diorite,Sandstone,Limestone",
Colquipucro Lead-Zinc Mine 2,-10.4146,-76.54973,Pasco,M,"Lead, Zinc",,S,Producer,"Argentite, Galena, Lead, Sphalerite",,"Shale,Limestone",
Comas Region Lead-Zinc Mine 54,-11.75621,-75.06636,Junin,M,"Lead, Zinc",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Clastic Sedimentary Rock,
Condoroma Lead-Zinc Mine 23,-15.24774,-71.16626,Cusco,M,"Zinc, Lead, Silver",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Volcanic Rock (Aphanitic),
Condorsenga Lead-Zinc Mine 4,-10.66459,-76.99973,Lima,M,"Zinc, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Corani Lead-Zinc Mine 1,-13.93112,-70.74958,Puno,M,"Lead, Zinc",,U,Producer,"Galena, Pyrite, Sphalerite",,Volcanic Rock (Aphanitic),
La Florida Lead-Zinc Mine 9,-7.88137,-78.04977,La Libertad,M,"Lead, Zinc, Silver, Gold",,Y,Producer,"Boulangerite, Bournonite, Chalcopyrite, Galena, Jamesonite, Marcasite, Pyrite, Pyrrhotite, Sphalerite, Tetrahedrite",,"Diorite,Hornblendite,Shale",
Huacullani Lead Zinc Mine 80,-16.61437,-69.35787,Puno,M,"Lead, Zinc, Silver",,Y,Producer,"Galena, Silver, Sphalerite",,Volcanic Rock (Aphanitic),
Huamana Mine,-9.18437,-77.42308,Ancash,M,"Silver, Lead",,S,Producer,"Galena, Pyrite, Smithsonite, Sphalerite, Stibnite",,"Diorite,Hornfels,Phyllite",
Isquez Lead Zinc Mine 9,-10.68959,-76.84974,Lima,M,"Zinc, Lead, Silver",,Y,Producer,"Galena, Sphalerite, Tetrahedrite",,"Clastic Sedimentary Rock,Limestone",
Jecanca Lead Zinc Mine 24,-9.47797,-77.58809,Ancash,M,"Silver, Zinc, Lead",,U,Producer,"Bornite, Chalcopyrite, Covellite, Galena, Marcasite, Pyrite, Pyrrhotite, Sphalerite",,"Rhyodacite,Andesite",
Kata Lead Zinc Mine 24,-15.29774,-71.00792,Cusco,M,"Lead, Zinc, Copper, Silver",,Y,Producer,"Chalcopyrite, Galena, Silver, Sphalerite",,Volcanic Rock (Aphanitic),
Palca Lead Zinc Mine 45,-15.31441,-70.69125,Puno,M,"Lead, Copper, Silver, Zinc",,Y,Producer,"Chalcopyrite, Galena, Silver, Sphalerite",,Volcanic Rock (Aphanitic),
Pampamali Lead Zinc Mine 21,-13.13115,-74.49968,Huancavelica,M,"Zinc, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,"Volcanic Rock (Aphanitic),Granite",
Patara Lead Zinc Mine 4,-8.83133,-77.9831,Ancash,M,"Lead, Zinc, Copper",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Pichita Caluga Lead Zinc Mine 8,-11.08596,-75.40248,Junin,M,"Lead, Zinc, Silver",,Y,Producer,"Anglesite, Bornite, Chalcopyrite, Galena, Hemimorphite, Hydrozincite, Silver, Smithsonite, Sphalerite",,"Shale,Sandstone,Limestone,Dolomite",
San Francisco Ii Lead Zinc Mine 8,-12.73117,-75.04136,Huancavelica,M,"Lead, Zinc, Silver",,Y,Producer,"Galena, Silver, Sphalerite",,"Limestone,Dacite",
Santa Rosa Lead Zinc Mine 11,-12.59784,-74.44135,Huancavelica,M,"Lead, Silver, Zinc, Copper",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite, Wolframite",,"Shale,Granite",
Sayapullo,-7.60638,-78.48311,Cajamarca,M,"Copper, Silver",,M,Producer,"Boulangerite, Chalcopyrite, Galena, Pyrite, Sphalerite, Stibnite, Tetrahedrite",,"Mudstone,Sandstone,Limestone",
Shalipayoc Lead Zinc Mine 10,-10.83124,-76.02472,Pasco,M,"Zinc, Silver, Lead",,Y,Producer,"Galena, Sphalerite, Tetrahedrite",,Limestone,
Telepaccha Lead Zinc Mine 4,-12.74784,-75.25803,Huancavelica,M,"Lead, Zinc",,Y,Producer,"Galena, Sphalerite",,Volcanic Rock (Aphanitic),
Huancapeti,-9.76129,-77.53337,Ancash,M,"Lead, Zinc, Silver",,Y,Producer,"Argentite, Bournonite, Chalcocite, Chalcopyrite, Galena, Jamesonite, Pyrite, Sphalerite, Stibnite, Tetrahedrite",,"Volcanic Breccia (Agglomerate),Rhyolite,Dacite",
Tuctu Mine and Prospects,-9.78824,-77.51782,Ancash,M,"Silver, Zinc, Lead",,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Sphalerite",,Trachyte,
Uchucchacua,-10.57209,-76.70112,Lima,M,"Lead, Silver",,U,Producer,"Alabandite, Bournonite, Chalcopyrite, Enargite, Galena, Jamesonite, Marcasite, Orpiment, Polybasite, Proustite, Pyrargyrite, Pyrite, Pyrrhotite, Realgar, Sphalerite, Stibnite, Tetrahedrite, Wurtzite",,Limestone,Dacite
Venturosa Lead-Zinc Mine 22,-11.63121,-76.3664,Lima,M,"Zinc, Copper, Silver, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Volcanic Rock (Aphanitic),Andesite
Vinchos Lead Zinc Mine 3,-10.47293,-76.29972,Pasco,M,"Lead, Silver, Zinc",,Y,Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Limestone,
Cahuide Tungsten 58,-13.76446,-70.79958,Cusco,M,"Antimony, Tungsten",Vein,U,Producer,"Stibnite, Wolframite",,Volcanic Rock (Aphanitic),
Mina Ragra Vanadium 14,-10.86458,-76.53306,Pasco,M,Vanadium,,Y,Past Producer,Patronite,,Limestone,
"Huashuacocha, Minaspata, Humanapi-Nickel-Cobalt Deposits-Peru",-13.06449,-73.08297,,M,"Nickel, Cobalt",,N,Occurrence,,,,
Cobalto Nickel-Cobalt Deposit-Peru,-13.02282,-72.15795,,M,"Nickel, Cobalt",,N,Occurrence,,,,
Tapo Nickel-Cobalt Deposit-Peru,-11.38122,-75.51637,,M,"Nickel, Cobalt",,N,Occurrence,,,,
San Cipriano-Nickel-Cobalt Deposits-Peru,-12.8145,-72.06629,,M,"Nickel, Cobalt",,N,Occurrence,,,,
Nunca Es Tarde,-14.11445,-70.06623,Puno,M,"Nickel, Cobalt",Vein,N,Occurrence,"Chalcopyrite, Smaltite",,,
Cueruo Nickel-Cobalt Deposit-Peru,-13.14782,-72.09129,,M,"Cobalt, Nickel",,N,Occurrence,,,,
Machasen,-7.33139,-77.49976,Cajamarca,M,,,N,Occurrence,,,,
"Huancabamba, Bayoacsa, Auquimarca, and Pampa Chiri Deposits",-5.23149,-79.46648,Apurimac,M,,,N,Occurrence,Magnetite,,,
Colquimarca,-13.49781,-73.49965,Cusco,M,,,N,Occurrence,"Hematite, Magnetite",,"Diorite,Limestone",
Cerro Pelado,-17.78933,-71.05791,Tacna,M,Iron,Vein,N,Occurrence,"Hematite, Limonite, Magnetite",,"Tonalite,Diorite",
Capacmarca,-13.49781,-73.49965,Cusco,M,,,N,Occurrence,"Hematite, Magnetite",,"Diorite,Limestone",
Santa Lucia Iron Deposit,-15.91439,-70.08317,Puno,M,,,N,Occurrence,,,,
Pedro Vicente - Cascas,-7.49805,-77.66643,Cajamarca,M,,,N,Occurrence,,,"Diorite,Clastic Sedimentary Rock",
Cerro Morritos Deposit,-17.89322,-70.82375,Tacna,M,"Iron, Copper",Vein,N,Occurrence,,,"Diorite,Hornblendite","Diorite,Hornblendite"
San Rafael,-14.19778,-70.46624,Puno,M,"Tin, Copper",Vein,S,Past Producer,"Cassiterite, Chalcopyrite",,,
San Vincente North and San Vicente South,-11.22679,-75.41192,Junin,M,"Lead, Zinc",,S,Producer,"Anglesite, Bournonite, Chalcopyrite, Galena, Hemimorphite, Pyrite, Smithsonite, Sphalerite",,"Limestone,Dolomite",
Santa Barbara,-12.862,-75.09108,Huancavelica,M,Mercury,,Y,Past Producer,"Cinnabar, Metacinnabar",,Sandstone,"Limestone,Dacite"
"Atalaya, Peru",-14.74776,-71.88294,Cusco,M,Copper,,Y,Past Producer,"Bornite, Chalcocite, Chalcopyrite, Malachite",Underground,"Monzonite,Limestone",Monzonite
Canariaco,-6.08145,-79.28313,Lambayeque,M,"Copper, Molybdenum",,N,Occurrence,"Chalcopyrite, Molybdenite",Unknown,"Tonalite,Volcanic Rock (Aphanitic),Tuff","Tonalite,Volcanic Rock (Aphanitic),Tuff"
"Coroccohuayco, Peru",-12.98115,-71.28293,Cusco,M,Copper,,N,Occurrence,"Chalcopyrite, Magnetite",,,
Cuajone Mine,-17.04212,-70.70374,Moquegua,M,"Copper, Molybdenum",,L,Producer,"Bornite, Chalcocite, Chalcopyrite, Chrysocolla, Covellite, Enargite, Galena, Malachite, Molybdenite, Sphalerite, Tenorite",,"Monzonite,Felsic Volcanic Rock,Latite,Andesite","Rhyolite,Andesite,Basalt"
Rio Seco,-13.71447,-75.88304,Ica,M,Copper,,S,Past Producer,,,,
Carhuayacan,-11.19929,-76.28694,Junin,M,"Lead, Zinc, Silver",,M,Producer,"Chalcopyrite, Freibergite, Pyrite, Sphalerite, Tennantite, Tetrahedrite",Underground,Limestone,"Dacite,Andesite"
Casapalca Centromin,-11.6801,-76.24666,Lima,M,"Zinc, Lead, Copper, Silver, Gold",,Y,Producer,"Argentite, Boulangerite, Bournonite, Chalcopyrite, Covellite, Galena, Jamesonite, Orpiment, Owyheeite, Polybasite, Proustite, Pyrargyrite, Pyrite, Realgar, Sphalerite, Stibnite, Tennantite, Tetrahedrite",Underground,"Shale,Sandstone,Conglomerate,Limestone,Volcanic Breccia (Agglomerate)","Diorite,Andesite"
"Colqui, Peru",-11.54871,-76.46306,Lima,M,"Lead, Zinc",,Y,Producer,"Argentite, Chalcopyrite, Cinnabar, Electrum, Galena, Gold, Marcasite, Polybasite, Proustite, Realgar, Sphalerite, Stibnite, Tennantite, Tetrahedrite, Wolframite",,Limestone,Andesite
Milpo Mine,-10.56736,-76.18694,Pasco,M,"Silver, Zinc, Lead",,Y,Producer,"Chalcopyrite, Galena, Jamesonite, Pyrite, Pyrrhotite, Sphalerite, Tetrahedrite",,Limestone,Sandstone
Morococha,-11.54788,-76.13305,Junin,M,"Zinc, Copper",,Y,Producer,"Alabandite, Arsenic, Bornite, Bournonite, Chalcocite, Chalcopyrite, Copper, Covellite, Cubanite, Enargite, Famatinite, Galena, Greenockite, Huebnerite, Marcasite, Molybdenite, Proustite, Pyrite, Pyrrhotite, Scheelite, Sphalerite, Stephanite, Stromeyerite, Wolframite",,Sandstone,"Tuff,Rhyolite,Dacite,Andesite"
"Calera Vein, Orcopampa",-15.09775,-72.33295,Arequipa,M,"Silver, Gold",,S,Producer,"Acanthite, Bornite, Boulangerite, Calaverite, Chalcopyrite, Coloradoite, Electrum, Enargite, Famatinite, Galena, Gold, Hessite, Marcasite, Miargyrite, Polybasite, Pyrargyrite, Silver, Sphalerite, Stephanite, Stibnite",,Rhyolite,"Volcanic Rock (Aphanitic),Dacite,Plutonic Rock"
"Pacococha, Peru",-11.78121,-76.33305,Lima,M,"Zinc, Lead, Copper, Silver",Vein,Y,Past Producer,"Galena, Sphalerite",,,
San Juan De Millotingo,-11.78121,-76.33305,,M,"Silver, Copper",,U,Past Producer,"Chalcopyrite, Galena, Pyrargyrite, Pyrite, Sphalerite",,,
"Santander, Peru",-11.23123,-76.53306,Lima,M,"Copper, Zinc",,Y,Producer,"Chalcopyrite, Sphalerite",,Limestone,Gabbro
Ticapampa,-9.70935,-77.43447,Ancash,M,"Lead, Zinc, Silver",,Y,Producer,,,,
Socavon Purgatorio,-6.33144,-78.66646,Cajamarca,M,Silver,,S,Past Producer,"Galena, Sphalerite, Tetrahedrite",,"Shale,Siltstone,Sandstone",Diorite
Casualidad Mine,-9.52269,-77.08781,Ancash,M,Lead,,S,Past Producer,"Chalcopyrite, Galena, Pyrite, Sphalerite",Surface/Underground,Limestone,
Rosita De Oro Mine,-9.53575,-77.08558,Ancash,M,"Zinc, Copper, Lead",,S,Past Producer,"Galena, Malachite, Pyrite, Sphalerite, Tetrahedrite",Surface/Underground,Limestone,
Cerro Jesus Vein Complex,-6.33144,-78.66646,Cajamarca,M,"Gold, Silver",,M,Past Producer,"Chalcopyrite, Covellite, Gold, Pyrargyrite, Silver, Sphalerite, Stromeyerite",Underground,Diorite,Diorite
Recompensa Mine,-9.51575,-77.09114,Ancash,M,"Silver, Lead",,S,Past Producer,"Galena, Pyrite, Sphalerite",Surface,Limestone,
San Samuel Mine,-10.22488,-76.95613,Ancash,M,"Silver, Lead",,S,Past Producer,"Galena, Pyrite, Sphalerite",,Limestone,Rhyolite
Contonga Y Chincho,-9.5313,-77.13308,Ancash,M,"Zinc, Lead",,Y,Producer,"Chalcopyrite, Galena, Sphalerite",,Limestone,Rhyolite
